zip,battery_tests_3yr,unique_battery_customers_3yr,battery_replacements_3yr
14221,1532,1127,529
14450,843,623,282
14580,841,642,288
14150,742,587,299
14226,711,536,263
14075,678,568,322
14224,666,566,322
14225,610,456,215
14215,602,438,235
14534,591,438,186
14086,581,472,276
14120,573,458,197
14051,541,380,177
14223,530,418,204
14127,524,451,255
14624,507,409,176
14617,495,384,211
13090,461,372,198
14217,459,339,187
14618,459,359,112
14043,457,360,187
14228,440,324,146
14609,433,347,133
13027,426,346,187
14216,419,304,186
14227,401,332,201
13088,401,308,141
14424,400,308,112
14526,384,297,126
14304,372,279,135
14072,367,285,128
14612,365,312,159
14214,352,249,150
14220,348,280,141
14626,329,279,134
13212,327,273,134
13031,323,267,130
13219,322,264,128
14850,307,275,95
14052,303,261,138
14616,297,244,138
13066,291,221,120
13206,286,231,107
14606,279,227,111
13104,276,223,105
14564,271,193,76
13205,265,195,95
13215,258,213,97
14218,258,209,116
14610,248,189,55
14620,248,201,62
14623,247,192,69
14211,239,159,98
13039,239,198,92
14031,235,172,76
13057,230,189,85
14213,229,175,106
13208,229,182,94
14625,222,168,73
14206,221,175,84
14020,216,179,139
14222,213,160,70
13210,213,168,86
13209,210,171,84
14622,208,171,82
13207,206,156,81
13214,202,150,83
14207,198,146,74
14305,196,142,70
13078,185,140,79
14032,182,121,65
13224,177,144,74
14092,175,138,58
14209,172,127,63
14559,168,141,64
13204,168,133,67
13203,167,133,72
14619,167,120,50
14068,163,126,63
14210,160,127,76
14607,156,121,40
14425,153,111,54
14467,150,109,38
14219,148,125,73
14586,144,107,33
14621,138,109,55
14001,132,102,52
14615,126,108,49
13035,123,98,54
14502,123,92,46
13041,122,102,50
14208,122,88,46
14519,121,99,48
14059,121,104,57
14204,116,73,49
14830,116,95,43
14468,116,106,55
14201,109,81,40
14301,109,83,45
14445,107,84,25
14472,105,86,53
14212,104,84,50
14456,102,80,44
14085,95,79,50
14004,95,84,44
14611,93,72,26
13601,93,84,31
14057,87,70,48
14006,83,79,46
13037,82,67,31
14613,78,64,37
13211,71,57,29
14568,70,59,27
14428,69,64,19
14048,68,61,41
14047,68,59,36
14141,66,58,38
14063,66,61,32
14513,65,58,20
14608,64,50,17
14514,61,50,21
14420,59,50,18
13202,57,45,20
13116,56,44,22
14870,55,47,24
14174,55,48,21
13069,54,38,20
13045,53,49,14
13440,52,50,19
14527,51,39,18
14522,50,45,18
14482,50,41,34
14810,49,44,12
14202,48,34,21
14469,47,37,19
13082,47,42,17
14437,46,39,12
14546,43,39,16
13084,43,38,17
14487,43,35,24
13030,42,36,21
13029,41,34,22
14432,41,30,8
14605,41,34,13
14025,40,31,18
14454,40,34,17
13120,36,29,11
14033,36,26,19
14036,35,32,15
14843,35,29,16
13108,34,33,13
14011,34,32,22
14303,33,29,13
14414,33,29,10
14886,32,31,8
14548,30,23,11
13135,30,26,15
14203,29,19,7
13021,29,27,11
14131,28,22,17
14471,28,21,14
14125,28,26,14
13126,27,22,12
14080,27,26,14
14136,27,26,19
14489,27,24,11
14604,26,20,11
13053,26,22,8
14589,26,26,13
14840,26,16,3
14485,25,20,17
14132,25,20,12
14506,25,18,7
14891,24,21,13
14787,23,21,9
13036,22,22,5
14512,22,19,8
14139,22,13,12
14170,21,18,10
14504,21,12,5
13132,20,18,7
13032,20,19,10
13152,20,16,8
13164,20,19,9
14505,19,18,9
13165,19,17,7
14543,18,15,7
13159,18,15,9
14882,18,16,3
13077,18,16,6
14895,18,16,9
14867,18,12,8
14040,17,16,7
14727,17,14,10
14009,17,15,6
13114,16,13,4
14435,16,15,7
14532,16,14,5
14102,15,11,9
14026,15,11,4
14464,15,14,8
14510,15,15,5
13421,15,13,5
14070,14,14,7
14111,14,13,11
14572,14,13,5
13148,13,10,5
13619,13,11,4
13068,13,11,1
13063,13,13,8
14560,13,9,7
14062,13,11,5
14760,12,9,6
14865,12,11,3
14081,12,12,4
14823,12,8,4
13073,11,10,4
13042,11,8,3
14055,11,10,5
14551,11,11,4
13142,11,11,3
14847,10,6,1
14731,10,9,7
14005,10,8,7
13346,10,9,4
13166,10,8,6
13413,10,9,4
14779,10,6,7
14569,10,9,4
14530,10,10,5
13110,10,9,5
14143,10,8,7
