zip,ers_calls_12mo,ers_unique_members_12mo,ers_tow_count_12mo
14221,6931,4314,1987
14580,5419,3511,1794
14215,4680,2191,1676
14450,4607,3012,1422
14075,4463,2871,1591
14150,4276,2614,1500
14224,4169,2695,1460
14850,4097,2556,1379
14609,3995,2097,1388
14120,3952,2500,1455
14624,3826,2300,1344
14225,3748,2099,1314
14534,3658,2363,1087
14612,3625,2153,1301
14226,3591,2130,1081
13027,3580,2260,1268
14086,3228,2110,1086
14127,3214,2124,1094
14626,3105,1839,1081
14616,3000,1638,1089
13090,2929,1791,968
13021,2853,1890,1188
14617,2722,1701,815
14424,2714,1782,992
14223,2638,1596,786
14217,2571,1530,792
14618,2552,1624,661
14216,2545,1401,729
14304,2493,1510,940
13205,2437,1116,824
14051,2429,1576,744
14228,2409,1415,798
14043,2393,1511,827
14072,2387,1535,849
14606,2379,1283,889
13088,2362,1413,745
14220,2356,1386,833
13440,2313,1468,966
14526,2260,1531,762
14227,2204,1337,770
13126,2172,1405,937
13212,2167,1328,719
14211,2163,952,830
14623,2076,1161,730
14214,2070,1103,674
14206,2005,1073,803
14052,1992,1308,727
13206,1907,1035,641
13219,1902,1194,646
13031,1893,1247,670
13207,1891,946,642
14620,1888,1064,505
13215,1886,1202,675
14213,1861,935,665
14621,1850,809,662
14020,1828,1185,802
13039,1806,1173,646
13104,1776,1131,588
14619,1754,799,596
13208,1745,941,560
14207,1741,900,624
14468,1727,1121,675
13204,1676,815,571
14610,1666,976,451
14218,1641,896,585
14559,1621,1058,624
13066,1612,1046,489
14564,1575,1059,560
13045,1569,1042,655
13069,1552,976,700
14420,1518,951,595
14305,1487,808,516
13057,1447,931,476
14615,1438,767,510
13210,1419,745,429
13601,1407,915,541
13209,1404,835,453
14210,1360,728,530
14607,1351,726,392
14622,1312,790,437
14611,1292,613,465
14625,1289,862,422
13203,1274,666,394
14222,1257,755,376
14456,1242,819,497
14208,1239,536,446
14519,1237,774,503
13078,1228,789,401
14092,1197,794,439
14031,1191,777,401
14425,1164,723,456
13224,1160,661,350
14006,1141,731,514
13214,1119,663,335
14586,1118,678,396
14830,1099,754,442
14004,1075,690,454
14219,1074,678,439
14613,1048,475,383
13041,1016,645,359
14467,1013,610,337
13035,1005,654,388
14212,996,476,395
14513,988,617,478
13032,983,604,362
14502,970,641,380
14032,963,624,315
14209,961,487,277
14059,952,633,393
14048,946,606,424
14428,940,589,376
14001,925,623,405
14063,922,631,382
13152,921,602,374
14204,891,417,326
14301,862,436,310
14472,861,583,321
14068,838,537,236
14201,832,433,280
14608,823,377,292
14085,821,517,345
13421,812,531,310
14445,791,488,265
14522,768,465,331
13037,767,486,275
14057,753,502,333
14589,740,451,331
13148,737,486,339
14760,723,466,274
14414,686,458,328
13036,671,431,326
14141,671,444,284
14527,667,462,306
14482,664,450,333
14047,659,428,275
13165,657,448,295
14568,656,414,315
13135,655,413,317
14454,650,432,307
14605,649,302,234
14174,645,420,271
14886,636,403,271
13211,628,380,234
13029,620,415,259
14514,617,377,209
14437,617,413,282
13108,608,432,284
14810,605,399,254
14070,603,357,310
13159,601,400,246
14464,591,366,264
14469,587,385,263
14487,571,392,277
13669,569,378,231
14843,562,376,247
14870,533,372,201
14512,533,341,273
14009,517,300,281
14489,516,304,214
13676,506,334,200
14080,503,323,241
13077,503,348,225
14036,501,320,234
13084,500,338,231
14303,489,236,191
13114,481,312,228
14011,476,330,226
13142,475,297,251
14551,472,306,245
13068,462,312,191
13082,455,289,168
14136,455,315,215
13617,445,316,170
14510,441,274,234
14546,440,290,168
13073,440,286,225
14590,435,258,226
14867,432,259,170
14505,417,298,192
13662,410,275,163
13030,407,248,155
13166,401,270,198
14548,388,232,167
14569,388,257,181
13116,387,249,129
14132,370,248,172
13118,369,252,190
14882,369,237,159
14432,369,241,149
13202,367,179,106
13120,367,206,152
13080,366,214,165
14025,352,216,166
13033,350,211,186
14530,349,226,176
14572,347,219,173
14485,346,221,160
14131,345,226,166
14062,345,217,177
14033,338,198,135
13053,330,216,136
13132,324,211,136
14081,323,201,166
14543,317,226,141
14433,311,186,154
13642,310,216,161
14787,309,215,142
13131,307,184,150
13140,306,187,159
14471,302,200,140
13074,301,199,145
13619,298,187,143
14416,298,196,146
14042,295,189,160
14532,295,194,145
13624,294,196,133
13167,292,174,147
14139,289,190,152
14779,288,185,164
14435,288,196,140
14125,286,188,141
13110,284,189,119
13316,282,185,146
14170,281,188,126
14111,281,172,123
13461,279,180,96
13346,276,188,93
14737,266,190,129
14706,266,177,110
14840,262,168,111
13476,256,169,102
13605,254,166,133
14202,249,150,68
13478,249,146,111
14719,246,158,141
13803,245,161,159
14895,241,169,107
14560,238,148,107
13042,236,140,115
14171,236,139,128
14604,229,121,57
13164,228,162,97
14727,226,165,105
13502,223,161,102
13501,222,129,92
14801,221,154,121
13076,221,140,109
14837,218,137,120
13634,214,151,87
14203,212,106,77
14821,212,133,107
13143,210,146,104
13060,208,144,111
14561,208,123,102
14040,207,128,94
14517,205,128,114
13367,200,143,75
13156,195,134,96
14817,194,121,78
13063,194,128,83
13044,194,134,88
14525,190,131,88
14005,188,112,92
13308,187,116,95
14891,186,126,82
14847,184,116,79
14034,184,123,92
14024,183,105,84
14755,180,108,89
14466,173,115,78
14516,170,115,91
14807,170,118,89
13040,170,113,94
14823,167,115,96
14812,166,101,91
13622,166,101,73
13408,165,113,64
13618,161,100,61
14873,160,102,74
13052,159,96,69
13101,159,101,85
14735,158,100,78
14544,158,93,84
14422,156,97,80
14716,154,95,94
14138,153,92,91
14030,152,91,73
14058,151,100,65
14167,151,106,85
14506,151,100,45
14065,146,91,63
14481,145,105,69
14521,144,90,80
14055,144,98,71
13112,141,97,70
13034,140,95,67
13409,140,83,70
13493,139,80,80
13685,139,87,48
13092,138,101,82
13160,138,95,68
14809,138,97,59
14102,135,94,61
13607,135,91,55
14143,135,79,68
13492,134,88,65
14427,134,89,63
13026,134,93,66
14013,133,95,82
14533,133,80,66
14865,133,88,71
14504,133,89,58
14101,132,88,70
13146,129,84,71
14129,128,85,65
14541,128,81,63
13061,127,83,57
14731,127,83,49
13637,127,67,57
13028,125,75,55
13668,124,81,50
13691,123,78,62
13363,122,78,51
13302,122,69,69
14739,121,76,64
14879,121,78,56
13471,120,85,59
14826,119,80,62
14718,116,80,74
13673,115,61,44
14069,113,81,56
13679,112,72,58
14744,112,73,58
14026,111,67,47
13111,111,65,70
14091,111,70,50
13413,110,74,36
14113,108,56,58
13656,107,76,57
14813,106,74,51
14555,104,68,38
14054,104,66,60
13145,103,78,51
14591,101,76,54
13658,100,74,48
14550,99,68,52
14711,99,71,57
13612,99,71,51
14145,98,76,44
13667,96,62,54
14741,96,71,49
13083,96,63,52
13323,95,60,41
14770,94,64,37
14507,93,60,39
13606,92,63,39
13081,91,64,59
14701,90,58,39
13646,89,63,48
14860,88,59,39
14709,87,60,49
13334,85,63,36
13054,84,58,38
14769,83,53,46
13603,83,54,30
13661,82,59,44
13613,81,58,41
14818,81,51,31
14775,80,54,47
13158,79,53,46
13650,79,59,39
13652,78,50,39
13141,78,46,39
14480,77,46,37
14804,76,50,40
14478,76,56,38
13648,75,57,38
13071,75,43,46
14066,73,47,42
13122,73,54,36
13693,73,43,34
13625,73,51,47
14715,70,41,27
14462,70,41,36
14729,69,52,40
13477,69,44,25
14777,68,46,31
13608,66,42,38
13147,66,49,37
14858,65,56,40
13144,64,44,40
14717,63,38,37
13303,63,36,29
13697,63,40,37
13654,62,39,30
14743,62,40,26
14614,62,33,18
14806,61,47,35
14836,60,40,35
14822,60,43,33
14869,60,42,27
14784,58,37,28
14841,57,35,30
13630,57,35,37
13354,57,38,29
14803,56,41,25
14802,54,41,25
13626,54,34,25
13694,54,36,28
13684,54,35,30
13402,52,42,27
14082,52,35,33
13403,49,37,23
13640,49,31,21
13309,48,36,22
14475,47,32,16
13103,47,28,22
13682,47,30,28
13072,47,33,18
14536,46,31,26
13616,45,30,21
14805,45,36,23
14880,44,35,27
13660,44,37,21
13343,43,30,19
14878,42,29,19
13486,42,34,17
14808,42,27,20
14898,40,28,20
13680,40,27,19
14060,40,24,26
14842,40,28,24
14134,38,20,19
13690,37,25,16
13672,37,23,25
14846,36,28,20
13438,36,26,15
13620,35,27,19
13664,35,28,16
14881,35,18,11
13635,33,21,20
14753,31,22,17
13327,31,23,16
13437,28,17,17
12965,28,15,12
14772,27,18,16
13456,27,16,9
14748,27,19,15
13425,27,18,10
14897,27,19,16
12967,26,20,14
13424,26,18,11
13681,25,18,15
13489,25,18,15
14820,24,14,12
13602,24,14,13
13665,24,16,11
13417,23,17,14
14041,23,14,12
14261,21,9,7
14726,21,14,13
13621,21,14,8
13659,20,14,13
14877,20,16,13
14083,20,11,8
14754,20,16,9
14824,20,11,11
13636,19,14,7
14712,19,13,5
13638,19,10,13
14884,19,12,12
14885,19,13,4
13244,18,7,6
13338,18,13,8
14585,18,10,7
13495,17,8,3
14750,17,9,7
13469,17,14,8
14757,17,13,12
13433,16,14,11
14710,16,11,7
13328,16,10,12
13490,15,13,6
13480,15,14,6
13304,15,11,5
14855,15,11,9
14441,15,11,9
13441,14,8,5
13687,14,13,6
14782,13,8,7
13355,13,6,5
