zip,active_members,ltv_a,ltv_b,ltv_c,ltv_d,ltv_e,avg_mpi,avg_tenure_yrs
14221,19029,10600,3802,2555,1406,307,,18.08
14580,17505,10767,3507,1992,819,151,,16.42
14450,14628,8903,3081,1599,712,118,,17.08
14075,13189,7471,2706,1700,905,155,,15.18
14534,12356,7783,2413,1356,568,80,,17.06
14850,11425,5823,2473,1794,849,174,,14.68
14224,11396,6134,2614,1573,749,123,,15.33
14120,11174,6198,2305,1531,741,152,,15.37
13027,10498,5833,2116,1378,795,169,,13.75
14150,10496,5358,2421,1540,862,132,,15.99
14127,10377,6326,1978,1231,570,117,,16.03
14086,10289,6170,2174,1134,549,95,,15.49
14624,9728,5148,2264,1313,689,141,,15.72
14612,9162,4957,2053,1266,598,134,,15.92
14226,8248,4235,1716,1184,764,170,,16.74
14424,8225,4691,1767,1053,473,87,,15.03
13090,8026,4379,1644,1066,606,171,,13.83
13021,8007,4207,1852,1128,555,111,,15.03
14051,7819,4806,1404,914,473,105,,17.18
14626,7724,4136,1784,1090,474,120,,16.7
14526,7483,4751,1472,715,367,60,,17.14
14618,7337,4220,1620,949,404,49,,17.5
14225,7266,3190,1730,1213,760,204,,13.73
14617,6901,3757,1546,977,457,65,,16.07
14072,6623,3787,1299,823,464,118,,15.66
13126,6395,3633,1226,886,420,101,,12.95
14609,6309,2620,1550,1147,667,191,,13.7
13440,6299,3141,1347,946,560,131,,11.78
14223,6296,3238,1397,943,536,69,,16.9
14052,6274,3961,1092,678,357,89,,15.55
14304,6164,3152,1393,925,457,109,,14.82
14043,6113,3181,1400,877,429,97,,15.17
13031,5847,3329,1145,778,368,132,,15.18
14616,5835,2804,1393,914,512,115,,15.08
13088,5649,2755,1280,892,479,128,,14.66
14564,5625,3468,1164,607,254,43,,15.41
13104,5572,3283,969,681,437,104,,14.92
14217,5551,2726,1263,811,534,94,,15.15
14227,5471,2768,1204,888,426,90,,15.61
14468,5457,3208,1079,683,351,59,,15.48
14559,5296,3106,1105,612,315,82,,15.7
13039,5277,3021,1039,687,363,90,,13.33
13215,5206,3019,973,634,422,86,,15.16
14228,5156,2468,1147,809,488,84,,15.11
14020,5074,2753,1077,646,394,110,,13.56
13212,4986,2408,1151,775,469,105,,14.35
13219,4965,2451,1117,763,436,110,,15.17
13045,4918,2706,1019,625,365,90,,13.17
13066,4899,2705,996,651,374,108,,16.73
14216,4586,2109,960,825,491,94,,14.81
14220,4528,2087,945,775,521,97,,13.0
13601,4475,2574,892,561,249,66,,13.11
14215,4432,1064,840,1053,976,337,,10.27
14420,4207,2329,854,561,310,70,,14.22
14610,4166,2212,996,565,266,52,,17.08
14623,4137,1893,993,701,372,68,,14.08
13057,4134,2106,872,620,388,74,,15.02
14606,4120,1893,958,699,393,96,,14.28
13069,3984,2038,782,593,364,117,,11.2
14620,3865,1610,1049,719,336,26,,14.41
14625,3798,2198,886,462,174,28,,17.2
14031,3775,2139,731,522,261,47,,16.39
14456,3694,2026,805,485,261,47,,14.55
14830,3686,1917,769,539,290,84,,13.11
14519,3649,2245,667,367,212,92,,15.11
14092,3534,1996,691,444,290,53,,16.34
13078,3527,2077,618,450,271,65,,16.6
14425,3349,1837,695,446,238,61,,13.29
13209,3304,1492,841,525,322,59,,14.4
14622,3192,1695,761,437,206,30,,15.85
14502,3183,1892,625,366,203,48,,14.1
14214,3171,1292,624,579,458,114,,13.93
14004,3164,1819,585,384,250,60,,14.36
13152,3138,1885,549,355,236,53,,15.15
13035,3120,1773,541,370,273,114,,14.11
