zip,total_members,active_members,card_unexpired,expired_members,avg_tenure_yrs
14221,19547,19071,19508,2,16.76
14580,17854,17479,17819,3,16.71
14450,14937,14606,14892,3,17.00
14075,13586,13194,13558,3,14.52
14534,12562,12306,12536,8,16.85
14224,11663,11365,11641,1,14.68
14850,11611,11289,11558,3,14.24
14120,11311,11032,11292,3,14.70
14150,10794,10450,10776,2,15.19
13027,10707,10442,10679,4,13.72
14127,10582,10361,10568,0,15.19
14086,10507,10261,10494,1,14.96
14624,10002,9730,9981,7,16.35
14612,9321,9111,9313,1,16.48
14226,8479,8211,8465,0,15.68
14424,8426,8210,8401,1,14.17
13090,8262,8007,8243,2,13.90
13021,8227,7947,8217,5,13.20
14051,7924,7780,7911,1,16.14
14626,7839,7628,7823,1,17.49
14526,7569,7433,7563,1,17.35
14225,7635,7418,7624,1,13.35
14618,7521,7356,7513,0,18.24
14617,7034,6880,7022,2,16.62
14072,6783,6595,6773,0,14.96
13126,6594,6390,6587,2,12.79
14052,6446,6290,6443,1,14.98
14609,6528,6273,6504,0,14.05
14223,6442,6255,6435,1,15.94
13440,6435,6193,6394,0,12.61
14304,6354,6179,6345,2,13.95
14043,6249,6062,6245,0,14.69
13031,5945,5828,5943,0,15.47
14616,5990,5804,5975,6,15.83
13088,5810,5642,5792,12,14.86
14564,5747,5635,5737,0,15.05
13104,5654,5531,5629,0,14.76
14217,5666,5500,5653,1,14.45
14468,5590,5467,5582,0,15.81
14227,5618,5440,5605,1,15.08
13039,5354,5257,5345,0,13.69
14559,5352,5254,5347,3,15.68
13215,5291,5190,5289,0,15.62
14228,5318,5137,5306,4,14.15
14020,5210,5022,5198,1,13.59
13212,5146,4986,5137,0,14.45
13219,5106,4953,5090,1,15.58
13045,5067,4897,5057,2,13.09
13066,4985,4869,4976,1,16.26
14216,4726,4542,4718,0,13.83
14220,4668,4526,4660,1,12.64
13601,4615,4453,4601,4,13.12
14215,4715,4399,4703,1,9.82
14420,4319,4182,4304,0,13.85
13057,4238,4133,4222,0,15.05
14623,4263,4125,4251,1,14.10
14610,4226,4119,4215,0,17.74
14606,4264,4106,4254,2,14.86
13069,4165,3984,4153,4,11.25
14620,4047,3895,4034,1,14.67
14625,3870,3788,3865,2,17.61
14031,3861,3765,3854,1,15.21
14456,3819,3702,3802,3,13.32
14519,3733,3649,3729,0,15.12
14830,3726,3631,3717,0,13.11
14092,3614,3521,3605,0,14.95
13078,3624,3501,3618,0,16.41
14425,3426,3333,3420,1,13.10
13209,3410,3305,3406,0,14.71
14214,3378,3232,3371,0,12.94
14502,3255,3197,3248,2,14.07
14622,3279,3181,3273,0,16.41
14004,3243,3169,3241,1,14.12
14032,3209,3128,3191,0,14.39
13035,3169,3112,3154,1,13.74
13152,3178,3103,3165,0,14.20
14472,3142,3091,3135,2,15.72
14001,3114,3050,3109,0,13.92
13206,3171,3041,3167,0,12.63
14059,3085,3025,3083,0,16.19
13041,3100,3017,3096,1,13.31
14206,3172,3005,3166,1,11.55
14063,3062,2998,3055,0,15.46
13032,3018,2917,3011,0,12.41
14218,3046,2916,3034,2,12.77
14428,2810,2774,2804,1,15.78
14527,2806,2740,2803,0,13.11
14513,2814,2740,2810,1,12.65
14586,2790,2708,2787,0,13.47
14006,2744,2659,2738,0,13.13
14222,2715,2623,2701,2,13.83
14219,2677,2601,2673,0,13.21
14467,2624,2575,2619,2,16.53
14048,2626,2555,2620,0,14.79
13037,2612,2544,2605,0,12.98
13207,2665,2517,2659,0,12.72
13421,2613,2517,2604,0,12.43
13208,2637,2485,2632,1,12.26
14760,2567,2469,2546,9,11.18
14068,2516,2446,2511,0,16.72
13214,2500,2415,2489,2,16.00
14085,2445,2397,2443,0,13.53
14305,2523,2396,2519,2,12.60
13148,2435,2343,2422,0,14.67
14607,2444,2326,2420,1,11.68
13205,2480,2322,2477,0,11.57
14057,2362,2310,2353,4,13.93
14615,2425,2297,2421,1,14.95
13224,2342,2262,2340,0,16.12
13210,2342,2246,2334,0,12.33
14522,2272,2202,2267,0,13.15
14213,2290,2149,2276,0,9.14
14207,2284,2145,2278,0,10.21
13108,2176,2121,2174,0,15.00
14141,2164,2108,2161,0,13.50
14414,2150,2097,2146,0,14.28
