zip,travel_customers_3yr,travel_transactions_3yr,travel_revenue_3yr
14221,6089,18679,2172568.0
14450,2446,6115,613254.0
14226,2117,5431,494659.0
14051,2082,5381,571412.0
14580,2060,4976,441315.0
14127,1997,4905,491545.0
14075,1972,4533,510962.0
14150,1954,4567,415253.0
14224,1838,4223,465129.0
14534,1752,4134,309594.0
14086,1660,3806,403980.0
13027,1562,3281,334094.0
14526,1535,3894,384390.0
14120,1486,3794,505992.0
14223,1464,3434,326105.0
13031,1447,3471,430714.0
13090,1330,2426,320570.0
14225,1327,2739,277435.0
14217,1304,3109,287071.0
14850,1278,3152,245432.0
13219,1262,2617,290852.0
13215,1246,2957,316045.0
13066,1225,3104,298598.0
13104,1162,2629,276045.0
14612,1145,2601,286571.0
14626,1129,2527,195611.0
14228,1074,2454,208733.0
14618,1073,2932,228942.0
13088,1064,2208,201223.0
14216,1013,2293,209467.0
14624,999,2094,189842.0
14215,960,1929,183350.0
14043,958,2186,280813.0
13078,914,2059,213817.0
14072,912,2195,208952.0
14031,903,2064,204391.0
14052,874,2039,218363.0
14227,874,1656,130049.0
13057,843,1767,226960.0
13039,794,1630,179932.0
13212,771,1516,133982.0
14032,743,1909,209865.0
13224,741,1703,173678.0
14220,738,1532,165060.0
13209,703,1583,152995.0
14214,692,1479,130860.0
14068,682,1663,142300.0
13214,675,1953,133156.0
14617,663,1688,148276.0
14616,644,1364,129554.0
13206,642,1343,130491.0
14609,641,1304,115818.0
13207,635,1304,112270.0
14559,627,1503,153647.0
14468,625,1256,119104.0
14222,613,1433,137782.0
14610,612,1635,133019.0
14625,600,1510,167824.0
13210,598,1270,137131.0
14564,581,1271,141106.0
13205,580,1091,93561.0
14304,546,1165,164629.0
13208,501,971,94338.0
13601,486,1009,142589.0
13041,481,951,104261.0
14218,476,949,80457.0
14206,469,931,128733.0
13021,466,970,123293.0
14424,466,933,94496.0
14620,457,1216,131674.0
14606,433,904,71767.0
14059,425,954,87621.0
13203,412,855,92195.0
14219,410,879,110245.0
14213,403,734,61700.0
13035,402,779,83441.0
14207,401,895,94094.0
14001,394,880,128595.0
13108,383,818,90048.0
13204,381,684,60215.0
14502,374,844,83575.0
13152,361,908,97977.0
14209,356,853,79378.0
14211,354,580,48525.0
